name	nickname
Elzbieta	Liz
Abigail	Abbey
Abigail	Abbi
Abigail	Abbie
Abigail	Abby
Abigail	Abi
Abigail	Gail
Abigail	Gayle
Adelaide	Addie
Adele	Addie
Adeline	Addie
Agatha	Aggie
Agnes	Aggie
Agnes	Nessie
Alex	Al
Alex	Lex
Alexa	Lexi
Alexander	Al
Alexander	Alec
Alexander	Aleck
Alexander	Alex
Alexander	Elsie
Alexander	Lex
Alexander	Sander
Alexander	Sandy
Alexander	Sawney
Alexander	Xan
Alexander	Zander
Alexandra	Allie
Alexandra	Ally
Alexandra	Aly
Alexandra	Lexi
Alexandra	Lexie
Alexandra	Sandy
Alexia	Lexi
Alexia	Lexie
Alexis	Lexi
Alexis	Lexie
Alfonso	Alf
Alfonso	Alfie
Alfonso	Alfy
Alfonzo	Alf
Alfonzo	Alfie
Alfonzo	Alfy
Alfonzo	Fonz
Alfonzo	Fonzie
Alfred	Al
Alfred	Alf
Alfred	Alfie
Alfred	Alfy
Alfred	Allie
Alfred	Ally
Alfred	Fred
Alice	Ally
Alison	Ali
Alison	Allie
Alison	Ally
Alison	Aly
Alistair	Allie
Allie	Ali
Allison	Ali
Allyson	Ali
Alonzo	Lonnie
Alonzo	Lonny
Alvin	Allie
Alvin	Alvie
Alvin	Alvy
Alyson	Ali
Alyssa	Aly
Amanda	Mandy
Ambrose	Ambers
Ambrose	Ambie
Ambrose	Amby
Ambrose	Brose
Amelia	Millie
Andrea	Andy
Andrew	Andy
Andrew	Drew
Angela	Ange
Angela	Angie
Angelika	Ange
Angelika	Angie
Angelina	Ange
Angelina	Angie
Anjana	Anj
Ann	Annie
Ann	Jo
Ann	Nan
Ann	Nannie
Ann	Nanny
Annabelle	Belle
Anne	Nanny
Annette	Nettie
Annie	Nannie
Anthony	Ant
Anthony	Tony
Antoinette	Toni
Antonia	Toni
Antonia	Tonia
Arabella	Bella
Archibald	Archie
Arnold	Arnie
Arthur	Arfie
Arthur	Art
Arthur	Artie
Arthur	Arty
Ashlee	Ash
Ashley	Ash
Audrey	Audie
Augustus	Augie
Augustus	Gus
Barbara	Babs
Barbara	Barb
Barbara	Barbie
Barnabas	Barney
Barnaby	Barney
Barnett	Barney
Barry	Baz
Barry	Bazza
Bartholomew	Bart
Bartholomew	Batt
Basil	Baz
Basil	Bazza
Beatrice	Bea
Beatrice	Trixie
Beatrix	Trixie
Becky	Becki
Becky	Beki
Belle	Bell
Benedict	Ben
Benjamin	Ben
Benjamin	Benji
Benjamin	Benjie
Benjamin	Benjy
Benjamin	Bennie
Benjamin	Benny
Bernadette	Bennie
Bernadette	Benny
Bernard	Barney
Bernard	Bernie
Bernice	Bennie
Bernice	Benny
Bert	Bertie
Bertram	Bertie
Bessie	Bessy
Bethany	Beth
Bethwyn	Beth
Betty	Bette
Bradford	Brad
Bradley	Brad
Bradly	Brad
Brian	Bri
Bridget	Biddie
Bridget	Biddy
Caden	Cade
Caleb	Cal
Caleb	Cale
Calum	Cal
Calvin	Cal
Cameron	Cam
Camilla	Millie
Camilla	Milly
Campbell	Camp
Candace	Candi
Candace	Candy
Candice	Candy
Caroline	Cal
Caroline	Callie
Caroline	Caro
Caroline	Carrie
Caroline	Cary
Carolyn	Lyn
Cassandra	Cass
Cassandra	Cassie
Catherine	Cat
Catherine	Cate
Catherine	Cath
Catherine	Cathi
Catherine	Cathie
